Clean data CS105 Winter'26 Mini-Project Survey (Responses) Timestamp,"What class are you filling out this survey for? Check all that apply. If none of the listed options apply, select ""Other"" and enter your class name (for example, CS105).",What is your current class standing?,Are you a transfer student?,"What is your major/minor? (If your major is not listed, please write it in ""Other.."")",What is your current cumulative GPA?,What is your age? Answer with a number only.,What is your ethnicity?,What gender do you identify as?,Select ALL that you identify with:,"How many hours of sleep on average do you get? Select a answer for each of the following situations:
 [During finals week:]","Over the past 2 weeks, how often have you felt mentally overwhelmed or stressed
1. Never
2. Almost Never
3. Sometimes
4. Somewhat frequently
5. E5day",Please indicate how much you agree with the following statements regarding the current job market in your major.  (Each row should have one answer) [I feel optimistic about my career prospects in this field],"Scale: 1 very poorly, 2 poorly, 3 neutral, 4 well,5 very well  How 4 are you able to concentrate during each of the following:
 [In-person lectures]","Scale: 1 very poorly, 2 poorly, 3 neutral, 4 well,5 very well How 4 are you able to concentrate during each of the following:
 [In-person discussions]","Scale: 1 very poorly, 2 poorly, 3 neutral, 4 well,5 very well  How 4 are you able to concentrate during each of the following:
 [Online lectures or discussions]","Scale: 1 very poorly, 2 poorly, 3 neutral, 4 well,5 very well  How 4 are you able to concentrate during each of the following:
 [Small study group sessions]","Scale: 1 very poorly, 2 poorly, 3 neutral, 4 well,5 very well  How 4 are you able to concentrate during each of the following:
 [Exams]",How many coding languages would you say you’re proficient in?,What was the first programming language you learned?,"Think about your favorite course (4 units). Why was it your favorite course? Rank the following reasons.
 [Final project instead of exam]","Think about your favorite course (4 units). Why was it your favorite course? Rank the following reasons.
 [Easy exams]","Think about your favorite course (4 units). Why was it your favorite course? Rank the following reasons.
 [Friendly professor]","Think about your favorite course (4 units). Why was it your favorite course? Rank the following reasons.
 [Accessible office hours]","Think about your favorite course (4 units). Why was it your favorite course? Rank the following reasons.
 [Low workload]","Think about your favorite course (4 units). Why was it your favorite course? Rank the following reasons.
 [No required attendence]","Think about your favorite course (4 units). Why was it your favorite course? Rank the following reasons.
 [Interested in material]","Think about your favorite course (4 units). Why was it your favorite course? Rank the following reasons.
 [Prepares for future job]",What class(es) do you think prepared you most for the career field you want to pursue? CS courses,What class(es) do you think prepared you most for the career field you want to pursue? ENGINEERING,What class(es) do you think prepared you most for the career field you want to pursue? DS courses,What class(es) do you think prepared you most for the career field you want to pursue? Humanities,Think about your time at UCR. Which week during the quarter do you: [Start feeling burnout],Think about your time at UCR. Which week during the quarter do you: [Have sleep deprivation],Think about your time at UCR. Which week during the quarter do you: [Start feeling less confident in the material],Think about your time at UCR. Which week during the quarter do you: [Start feeling more confident in the material],Think about your time at UCR. Which week during the quarter do you: [Study the most],Think about your time at UCR. Which week during the quarter do you: [Enjoy the most],"Choose the resources that has been most helpful in your success in your favorite course. Choose all that apply.
","How confidently can you explain the following concepts to someone who hasn’t taken it? 
   FOR CS MAJORS/MINORS: Pointers, if/else statements, for/while loops
   FOR DS MAJORS/MINORS: numpy, pandas, matplotlib, hypothesis testing"
2/2/2026 10:17:20,CS105,Senior,No,CS major,3.67 – 4.0,20,Asian,Male,Other,8+ hours,3,3 (3),4,4,4,3,5,2,Java,1 (Not a good reason),1 (Not a good reason),1 (Not a good reason),1 (Not a good reason),5 (5 good reason),1 (Not a good reason),5 (5 good reason),3 (Moderate reason),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8
2/2/2026 10:39:54,CS105,Senior,No,Econ,3.33 – 3.67,22,Asian,Female,First Generation Student,6-7 hours,5,3 (3),5,5,3,3,5,1,C++/C,4 (Good reason),4 (Good reason),4 (Good reason),4 (Good reason),4 (Good reason),3 (Moderate reason),4 (Good reason),5 (5 good reason),,,,"ECON105B, ECON106, ECON107, ECON108, ECON109, ECON136",Week 5,Week 1,Week 4,Week 2,Week 5,Week 1,Office hours,5
2/2/2026 11:42:33,CS105,Senior,No,CS major,3.67 – 4.0,21,Asian,Female,Second Generation Student,4-5 hours,4,Disagree (2),4,4,4,4,4,2,C++/C,3 (Moderate reason),5 (5 good reason),5 (5 good reason),2 (5 small reason),5 (5 good reason),4 (Good reason),5 (5 good reason),5 (5 good reason),"CS100, CS141",,,,Week 5,Week 5,Week 4,Week 5,Week 5,Week 1,"Office hours, Slack communication, Study groups",7
2/2/2026 12:12:48,CS105,Senior,No,CS major,3.33 – 3.67,22,Asian,Female,Other,6-7 hours,4,3 (3),2,3,5,3,3,4,C++/C,2 (5 small reason),5 (5 good reason),5 (5 good reason),2 (5 small reason),5 (5 good reason),5 (5 good reason),5 (5 good reason),5 (5 good reason),N/A,N/A,N/A,N/A,Week 5,Week 7,Week 5,Week 8,Week 9,Week 9,"AI tools, Study groups",8
2/2/2026 12:16:00,CS105,Senior,No,CS major,2.67 – 3.0,22,"White, Hispanic or Latino",Female,Second Generation Student,8-9 hours,3,Strongly Disagree (1),3,4,1,4,4,2,Python,2 (5 small reason),5 (5 good reason),5 (5 good reason),1 (Not a good reason),5 (5 good reason),5 (5 good reason),5 (5 good reason),4 (Good reason),"CS105, CS166",,,,Week 7,Week 1,Week 8,Week 1,Week 9,Week 1,"AI tools, Slack communication, Study groups",9
2/2/2026 12:18:31,CS111,Junior,Yes,CEN or EE major,3.67 – 4.0,22,White,Male,Second Generation Student,6-7 hours,3,3 (3),4,3,2,5,5,7,Scratch,1 (Not a good reason),1 (Not a good reason),3 (Moderate reason),1 (Not a good reason),3 (Moderate reason),2 (5 small reason),5 (5 good reason),1 (Not a good reason),N/A,N/A,N/A,N/A,Week 6,Week 6,Week 5,Week 8,Week 9,Week 4,"Slack communication, Study groups",10
2/2/2026 12:29:39,CS105,Junior,Yes,Data Science major,2.33 – 2.67,22,"Asian, Hispanic or Latino",Male,Other,4-5 hours,1,Strongly Agree (5),5,5,1,4,4,4,C++/C,2 (5 small reason),3 (Moderate reason),5 (5 good reason),5 (5 good reason),4 (Good reason),2 (5 small reason),5 (5 good reason),5 (5 good reason),,,STAT010,,Week 9,Week 5,Week 5,Week 9,Week 9,Week 9,"AI tools, Study groups",10
2/2/2026 12:58:36,CS105,Sophomore,Yes,Data Science major,3.33 – 3.67,21,Asian,Male,International Student,8-9 hours,2,3 (3),3,3,3,3,4,1,C++/C,5 (5 good reason),5 (5 good reason),5 (5 good reason),5 (5 good reason),5 (5 good reason),5 (5 good reason),5 (5 good reason),5 (5 good reason),CS111,,STAT107,BUS104,Week 5,Week 2,Week 3,Week 6,Week 9,Week 1,"Office hours, AI tools",4
2/2/2026 13:39:51,CS111,Junior,No,CEN or EE major,3.67 – 4.0,19,Asian,Female,First Generation Student,Less than 4,5,Strongly Disagree (1),3,2,1,4,4,3,Python,1 (Not a good reason),5 (5 good reason),5 (5 good reason),5 (5 good reason),5 (5 good reason),3 (Moderate reason),5 (5 good reason),2 (5 small reason),CS165,,,,Week 5,Week 2,Week 4,N/A,Week 7,Week 1,"AI tools, Slack communication, Study groups",10
2/2/2026 13:42:24,CS105,Senior,No,CS major,3.67 – 4.0,20,Asian,Female,Second Generation Student,6-7 hours,3,Agree (4),4,4,2,5,5,2,C++/C,4 (Good reason),4 (Good reason),5 (5 good reason),4 (Good reason),4 (Good reason),4 (Good reason),4 (Good reason),5 (5 good reason),"CS105, CS100, CS010C",,,,Week 6,Week 6,Week 8,Week 2,Week 8,Week 9,"Office hours, AI tools, Study groups, Personal tutoring",10
2/2/2026 13:46:56,CS105,Senior,No,CS major,3.0 – 3.33,21,Hispanic or Latino,Female,First Generation Student,6-7 hours,3,Agree (4),3,3,3,4,4,3,Javascript,3 (Moderate reason),3 (Moderate reason),4 (Good reason),3 (Moderate reason),3 (Moderate reason),2 (5 small reason),4 (Good reason),4 (Good reason),CS141,,,,Week 3,Week 9,Week 5,Week 2,Week 9,Week 5,"Office hours, AI tools, ULA services",6
2/2/2026 14:00:18,CS111,Junior,No,CEN or EE major,2.33 – 2.67,22,Pakistani,Male,First Generation Student,4-5 hours,3,3 (3),3,3,3,3,3,1,C++/C,3 (Moderate reason),3 (Moderate reason),3 (Moderate reason),3 (Moderate reason),3 (Moderate reason),3 (Moderate reason),3 (Moderate reason),3 (Moderate reason),CS010C,,,,Week 4,Week 4,Week 4,Week 4,Week 8,Week 1,AI tools,9
2/2/2026 14:06:37,CS111,Junior,No,CSBA major,3.0 – 3.33,20,Asian,Male,Second Generation Student,4-5 hours,3,Agree (4),2,2,3,2,3,1,Python,3 (Moderate reason),3 (Moderate reason),4 (Good reason),4 (Good reason),2 (5 small reason),5 (5 good reason),4 (Good reason),4 (Good reason),,,,ENGR101,Week 5,Week 6,Week 7,Week 4,Week 6,Week 5,"Office hours, AI tools, Slack communication, Study groups",4
2/2/2026 14:57:25,CS111,Junior,No,CS or DS minor,2.67 – 3.0,21,Asian,Male,International Student,6-7 hours,3,Strongly Disagree (1),4,3,1,1,5,1,C++/C,1 (Not a good reason),2 (5 small reason),4 (Good reason),1 (Not a good reason),2 (5 small reason),1 (Not a good reason),4 (Good reason),5 (5 good reason),"CS010C, CS122A, CS179J","EE128, EE147",,,Week 5,Week 3,Week 7,Week 7,Week 7,Week 1,AI tools,9
2/2/2026 15:19:27,CS105,Senior,No,CS major,3.67 – 4.0,21,Prefer not to say,Female,Other,4-5 hours,4,Strongly Disagree (1),5,4,3,4,4,2,Javascript,3 (Moderate reason),4 (Good reason),5 (5 good reason),1 (Not a good reason),4 (Good reason),1 (Not a good reason),3 (Moderate reason),2 (5 small reason),"CS100, CS141",,,,Week 6,Week 5,Week 6,Week 1,Week 8,Week 1,N/A,8
2/2/2026 16:11:16,CS105,Senior,No,CS or DS minor,3.33 – 3.67,22,"White, Prefer not to say",Prefer not to say,Other,Less than 4,2,Disagree (2),2,2,2,2,2,85,Java,1 (Not a good reason),1 (Not a good reason),1 (Not a good reason),1 (Not a good reason),1 (Not a good reason),1 (Not a good reason),1 (Not a good reason),1 (Not a good reason),N/A,N/A,N/A,N/A,Week 5,Week 4,Week 3,Week 1,Week 2,Week 7,AI tools,5
2/2/2026 16:20:44,CS111,Junior,No,CS major,3.0 – 3.33,20,"Asian, White",Male,First Generation Student,Less than 4,5,Strongly Disagree (1),2,4,1,5,5,3,C++/C,1 (Not a good reason),5 (5 good reason),5 (5 good reason),1 (Not a good reason),5 (5 good reason),5 (5 good reason),5 (5 good reason),1 (Not a good reason),N/A,N/A,N/A,N/A,Week 6,Week 4,Week 3,Week 5,Week 2,Week 9,Study groups,10
2/2/2026 16:21:56,CS105,Senior,No,CS major,3.33 – 3.67,21,Hispanic or Latino,Male,First Generation Student,4-5 hours,3,Disagree (2),4,4,2,4,4,2,C++/C,1 (Not a good reason),4 (Good reason),4 (Good reason),2 (5 small reason),4 (Good reason),3 (Moderate reason),5 (5 good reason),5 (5 good reason),CS100,,,,Week 4,Week 4,Week 4,Week 7,Week 9,Week 1,"AI tools, Study groups",10
2/2/2026 16:31:05,CS111,Junior,No,CS major,2.67 – 3.0,21,"Asian, White",Female,First Generation Student,Less than 4,5,3 (3),1,4,4,5,3,2,Java,5 (5 good reason),5 (5 good reason),5 (5 good reason),5 (5 good reason),3 (Moderate reason),5 (5 good reason),5 (5 good reason),5 (5 good reason),"CS10C, CS100",,,,Week 8,Week 4,Week 6,Week 3,Week 7,Week 1,"Office hours, Study groups, ULA services",7
2/2/2026 16:36:16,CS111,Sophomore,No,CS major,3.67 – 4.0,19,Asian,Male,Other,8-9 hours,4,Agree (4),3,3,2,5,5,7,HTML & CSS,5 (5 good reason),5 (5 good reason),5 (5 good reason),5 (5 good reason),5 (5 good reason),2 (5 small reason),5 (5 good reason),5 (5 good reason),"CS100, CS010C, CS111",,,,Week 4,Week 7,Week 5,Week 8,Week 5,Week 1,"Study groups, ULA services",8
2/2/2026 16:41:09,CS111,Junior,Yes,CS major,3.67 – 4.0,22,White,Male,Other,6-7 hours,4,Strongly Disagree (1),4,3,5,5,5,4,Javascript,3 (Moderate reason),5 (5 good reason),5 (5 good reason),4 (Good reason),4 (Good reason),1 (Not a good reason),5 (5 good reason),5 (5 good reason),CS100,,,,Week 9,Week 3,Week 2,Week 5,Week 9,Week 5,"AI tools, ULA services",10
2/2/2026 16:43:09,CS111,Senior,No,CEN or EE major,3.33 – 3.67,22,"White, Black",Male,"First Generation Student, International Student",Less than 4,2,3 (3),2,3,1,2,5,3,Javascript,2 (5 small reason),3 (Moderate reason),3 (Moderate reason),4 (Good reason),2 (5 small reason),3 (Moderate reason),4 (Good reason),3 (Moderate reason),N/A,N/A,N/A,N/A,Week 3,Week 6,Week 7,Week 9,Week 4,Week 9,"Office hours, Slack communication",5
2/2/2026 16:45:15,CS111,Junior,No,Mechanical Engineering,3.67 – 4.0,21,Asian,Male,Other,4-5 hours,4,Strongly Disagree (1),4,3,1,1,5,1,Java,1 (Not a good reason),4 (Good reason),4 (Good reason),1 (Not a good reason),4 (Good reason),2 (5 small reason),4 (Good reason),2 (5 small reason),CS100,"ME116A, ME100A, ME103, ME113",,,Week 6,Week 7,Week 3,N/A,Week 9,Week 1,"Office hours, AI tools, Slack communication, Study groups",9
2/2/2026 16:47:29,CS111,Junior,No,CS major,3.0 – 3.33,20,Hispanic or Latino,Male,First Generation Student,6-7 hours,5,3 (3),4,4,3,5,3,1,C++/C,3 (Moderate reason),5 (5 good reason),5 (5 good reason),5 (5 good reason),5 (5 good reason),4 (Good reason),5 (5 good reason),5 (5 good reason),"CS010C, CS100",,,,Week 7,Week 7,Week 5,Week 9,Week 9,Week 1,"Office hours, AI tools, Study groups, ULA services",6
2/2/2026 16:48:39,CS111,Senior,Yes,Data Science major,3.33 – 3.67,22,Asian,Male,International Student,6-7 hours,4,Strongly Agree (5),4,4,4,4,4,2,Python,5 (5 good reason),5 (5 good reason),5 (5 good reason),5 (5 good reason),5 (5 good reason),5 (5 good reason),5 (5 good reason),5 (5 good reason),N/A,N/A,N/A,N/A,Week 9,Week 9,Week 9,Week 9,Week 9,Week 9,Office hours,10
2/2/2026 17:01:26,CS111,Sophomore,No,CS major,3.67 – 4.0,19,Hispanic or Latino,Male,Second Generation Student,8-9 hours,4,3 (3),4,4,3,5,3,1,HTML & CSS,1 (Not a good reason),1 (Not a good reason),5 (5 good reason),2 (5 small reason),5 (5 good reason),1 (Not a good reason),5 (5 good reason),4 (Good reason),"CS010C, CS100",,,,Week 7,Week 9,Week 6,Week 8,Week 9,Week 9,AI tools,10
2/2/2026 17:04:42,CS111,Sophomore,No,CSBA major,3.67 – 4.0,19,"Asian, White",Male,Other,6-7 hours,3,Disagree (2),3,4,3,4,4,2,Java,4 (Good reason),3 (Moderate reason),5 (5 good reason),2 (5 small reason),3 (Moderate reason),3 (Moderate reason),4 (Good reason),5 (5 good reason),"CS100, CS10C",,,,Week 7,N/A,Week 4,Week 8,Week 9,Week 1,Slack communication,10
2/2/2026 17:05:27,"CS105, CS111",Senior,Yes,CS major,3.33 – 3.67,23,Asian,Male,International Student,8-9 hours,4,Strongly Disagree (1),4,4,4,3,5,1,Java,5 (5 good reason),5 (5 good reason),5 (5 good reason),5 (5 good reason),5 (5 good reason),1 (Not a good reason),5 (5 good reason),5 (5 good reason),CS100,,,,Week 2,Week 2,Week 4,Week 1,Week 5,Week 9,"Office hours, AI tools, Study groups, Personal tutoring, ULA services",8
2/2/2026 17:10:15,CS111,Junior,No,CEN or EE major,3.0 – 3.33,20,Hispanic or Latino,Female,First Generation Student,Less than 4,5,3 (3),4,4,3,3,4,1,C++/C,3 (Moderate reason),3 (Moderate reason),3 (Moderate reason),3 (Moderate reason),3 (Moderate reason),1 (Not a good reason),3 (Moderate reason),3 (Moderate reason),"CS010A, CS010B, CS010C",,,ENGR101,Week 3,Week 4,Week 4,Week 7,Week 4,Week 1,"Office hours, AI tools, ULA services",8
2/2/2026 17:11:08,CS111,Junior,Yes,CS major,3.33 – 3.67,20,Asian,Male,Second Generation Student,8-9 hours,2,3 (3),4,4,2,4,5,3,Java,4 (Good reason),2 (5 small reason),4 (Good reason),4 (Good reason),2 (5 small reason),1 (Not a good reason),4 (Good reason),4 (Good reason),CS100,,,,Week 4,Week 9,Week 4,Week 9,Week 9,Week 2,"Office hours, AI tools, Slack communication",9
2/2/2026 17:25:33,CS111,Sophomore,No,CSBA major,Prefer not to say,19,Asian,Female,First Generation Student,6-7 hours,5,Disagree (2),4,4,2,3,4,1,C++/C,4 (Good reason),5 (5 good reason),5 (5 good reason),5 (5 good reason),5 (5 good reason),4 (Good reason),4 (Good reason),4 (Good reason),CS010C,,,"ECON101, ENGR101",Week 5,Week 5,Week 4,Week 8,Week 9,Week 1,"AI tools, Slack communication",9
2/2/2026 17:26:50,CS111,Sophomore,No,CS major,2.67 – 3.0,20,Asian,Male,"First Generation Student, Out-of-State Student",6-7 hours,3,Strongly Disagree (1),4,4,3,5,4,2,VB.NET,1 (Not a good reason),2 (5 small reason),5 (5 good reason),5 (5 good reason),3 (Moderate reason),2 (5 small reason),4 (Good reason),4 (Good reason),"CS111, CS010C",,,,Week 2,Week 2,Week 3,N/A,Week 9,Week 1,"AI tools, Slack communication, Personal tutoring, ULA services",8
2/2/2026 17:30:23,CS111,Junior,No,CSBA major,3.67 – 4.0,20,Prefer not to say,Prefer not to say,Other,8+ hours,5,Strongly Agree (5),5,5,5,5,5,230,Python,5 (5 good reason),5 (5 good reason),5 (5 good reason),5 (5 good reason),5 (5 good reason),5 (5 good reason),5 (5 good reason),5 (5 good reason),N/A,N/A,N/A,N/A,Week 9,Week 9,Week 9,Week 9,Week 9,Week 9,Office hours,10
2/2/2026 17:34:44,CS105,Junior,Yes,CS major,3.67 – 4.0,20,Asian,Male,First Generation Student,6-7 hours,4,3 (3),5,5,2,4,4,1,C++/C,3 (Moderate reason),5 (5 good reason),5 (5 good reason),5 (5 good reason),5 (5 good reason),2 (5 small reason),5 (5 good reason),4 (Good reason),CS 010C,,,,Week 7,Week 8,Week 2,Week 5,Week 7,Week 9,"Office hours, Study groups, Personal tutoring, ULA services",9
2/2/2026 17:45:49,CS111,Junior,Yes,CS major,3.67 – 4.0,25,Asian,Female,First Generation Student,4-5 hours,5,Strongly Disagree (1),4,4,4,3,4,1,C++/C,4 (Good reason),5 (5 good reason),5 (5 good reason),3 (Moderate reason),5 (5 good reason),2 (5 small reason),5 (5 good reason),5 (5 good reason),CS100,,,,Week 4,Week 4,Week 4,Week 2,Week 8,Week 1,"Office hours, ULA services",4
2/2/2026 17:51:46,CS111,Sophomore,No,CEN or EE major,3.33 – 3.67,19,Asian,Male,Second Generation Student,4-5 hours,4,Disagree (2),4,4,1,2,3,3,Python,3 (Moderate reason),3 (Moderate reason),4 (Good reason),3 (Moderate reason),4 (Good reason),4 (Good reason),3 (Moderate reason),4 (Good reason),"CS010C, CS010B, CS061",PHYS040C,,,Week 7,Week 3,Week 2,Week 9,Week 9,Week 1,"Office hours, AI tools, ULA services",7
2/2/2026 17:53:05,CS105,Sophomore,No,CEN or EE major,2.67 – 3.0,19,Asian,Female,Second Generation Student,4-5 hours,5,Strongly Disagree (1),3,4,3,4,4,2,Python,2 (5 small reason),3 (Moderate reason),5 (5 good reason),3 (Moderate reason),2 (5 small reason),3 (Moderate reason),5 (5 good reason),5 (5 good reason),CS010C,,,,Week 5,Week 5,Week 5,Week 2,Week 5,Week 1,"Office hours, Slack communication, Study groups, ULA services",9
2/2/2026 17:55:10,CS105,Sophomore,No,Data Science major,3.67 – 4.0,19,Asian,Male,Second Generation Student,8-9 hours,3,Disagree (2),3,3,3,3,4,1,Javascript,1 (Not a good reason),1 (Not a good reason),4 (Good reason),1 (Not a good reason),2 (5 small reason),1 (Not a good reason),2 (5 small reason),1 (Not a good reason),CS009A,,,,Week 4,Week 9,Week 4,Week 1,Week 3,Week 9,"AI tools, Personal tutoring",6
2/2/2026 18:08:20,CS111,Junior,No,CSBA major,3.67 – 4.0,19,Asian,Female,First Generation Student,Less than 4,5,Agree (4),4,4,4,4,4,3,Python,5 (5 good reason),5 (5 good reason),5 (5 good reason),5 (5 good reason),5 (5 good reason),2 (5 small reason),4 (Good reason),5 (5 good reason),CS100,,,,Week 4,Week 4,N/A,N/A,Week 9,Week 1,"Office hours, Slack communication, ULA services",8
